_id,ID,AD,KATEGORI ADI,IL ADI,ILCE ADI,MAHALLE ADI,DURUM,BOYLAM,ENLEM,ELEKTRIK,KULLANIM ALANI,OTOMATIK HESAPLANAN ALAN,SU,TABELA KOD,TOPLAM ALAN,TOPLAM CADIR / KONTEYNER SAYISI,TUR,VERI URETIM,WC / KANALIZASYON,YOL DURUMU
75,151349565,Eksen Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İstasyon Mh.,Aktif,29.319721958981503,40.82696745968442,Var,891,1146.13268512538,Var,3430-014-33,891,0/0,PARK,Koordinat,Yok,VAR
76,151349566,Galatasaraylılar Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İstasyon Mh.,Aktif,29.31970908918007,40.823200732950944,Var,3874,4464.53737013688,Var,3430-014-35,3874,0/0,PARK,Koordinat,Yok,VAR
77,151349567,Hayat Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İstasyon Mh.,Aktif,29.31543965585788,40.82782063054638,Var,2700,1498.51627494205,Var,3430-014-40,2700,0/0,PARK,Koordinat,Yok,VAR
78,151349568,İBB-Çiçekçiler Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İstasyon Mh.,Aktif,29.31693404275057,40.82780500967928,Var,2057,2363.79095573457,Var,3430-014-41,2057,0/0,PARK,Koordinat,Yok,VAR
79,151349569,Mareşal Fevzi Çakmak Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İstasyon Mh.,Aktif,29.3243870623938,40.82508864371936,Var,3148,3126.20619967222,Var,3430-014-36,3148,0/0,PARK,Koordinat,Var,VAR
80,151349570,Tıp Kent Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İstasyon Mh.,Aktif,29.32249059350632,40.82409909290966,Var,588,599.895425551602,Var,3430-014-42,588,0/0,PARK,Koordinat,Yok,VAR
81,151349571,Uğurkent Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İstasyon Mh.,Aktif,29.31625184612977,40.832194768567874,Var,7118,7698.03383931927,Var,3430-014-37,7118,0/0,PARK,Koordinat,Var,Var
82,151349572,Yunus Emre Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,İstasyon Mh.,Aktif,29.323173492877068,40.82702840008172,Var,5069,5530.2416026076,Var,3430-014-38,5069,0/0,PARK,Koordinat,Yok,Var
83,151349573,Okul Parkı Ve Bahçesi,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Fatih Mh.,Aktif,29.341301210423115,40.92774011163385,Var,1400,589.953518365322,Var,3430-012-26,1400,0/0,OKUL,Koordinat,Var,Var
84,151349574,15 Temmuz Şehitler Parkı (Aynı Zamanda TRANSFER ALANIDIR.),Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Mimar Sinan Mh.,Aktif,29.365698263047356,40.8353871272035,Var,17505,18687.7726455683,Var,3430-016-50,17505,0/0,PARK,Koordinat,Var,VAR
85,151349575,Barış Manço Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Mimar Sinan Mh.,Aktif,29.36166283128889,40.840873793887,Var,1000,1099.81845676994,Var,3430-016-44,1000,0/0,PARK,Koordinat,Yok,VAR
86,151349576,Çiftlik Sokak Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Mimar Sinan Mh.,Aktif,29.36704667213385,40.83803061539136,Var,2525,2813.9352647913,Var,3430-016-48,2525,0/0,PARK,Koordinat,Yok,VAR
87,151349577,Güngörmüş Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Mimar Sinan Mh.,Aktif,29.36461997940033,40.84202018520877,Var,1694,741.251998554545,Var,3430-016-47,1694,0/0,PARK,Koordinat,Yok,VAR
88,151349578,Mimar Sinan Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Mimar Sinan Mh.,Aktif,29.362282030667224,40.834512444761806,Var,4415,3114.64228964696,Var,3430-016-43,4415,0/0,PARK,Koordinat,Var,VAR
89,151349579,Sağlık Ocağı Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Mimar Sinan Mh.,Aktif,29.360506224106945,40.84054865182822,Var,246,258.486790694522,Var,3430-016-51,246,0/0,PARK,Koordinat,Yok,VAR
90,151349580,Şehit İbrahim Doğan Parkı 1,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Mimar Sinan Mh.,Aktif,29.367551295944008,40.832210213131006,Var,11872,29219.0,Var,3430-016-46,11872,0/0,PARK,Koordinat,Var,VAR
91,151349581,Şehit J. Er Bahtiyar Maden Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Mimar Sinan Mh.,Aktif,29.36168761844695,40.84524419104663,Var,1302,1326.91975888266,Var,3430-016-45,1302,0/0,PARK,Koordinat,Yok,VAR
92,151349582,Şeyh Edebali Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Mimar Sinan Mh.,Aktif,29.362695101371617,40.84693990464117,Var,2000,2050.41943793998,Var,3430-016-49,2000,0/0,PARK,Koordinat,Yok,VAR
93,151349583,Cevher Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Postane Mh.,Aktif,29.306699042785198,40.82493898389063,Var,2487,2742.93134244128,Var,3430-019-57,2487,0/0,PARK,Koordinat,Yok,VAR
