_id,Saglik Tesisi Adi,Ana Kategori,Alt Kategori,Ilce Adi,Mahalle Adi,ADRES,Latitude,Longitude
3387,Beykoz Ağız ve Diş Sağlığı Merkezi,Sağlık,Ağız Diş Sağlığı Merkezi,BEYKOZ,ÇUBUKLU,Vatan Cad. No:32 ÇUBUKLU/BEYKOZ,41.09704099999999726833266322501003742218017578125,29.091532000000000834916136227548122406005859375
3388,İstanbul Karagümrük Aile Danışmanlık ve Eğitim Merkezi,Sağlık,Rehabilitasyon ve Aile Danışma Merkezi,FATİH,KARAGÜMRÜK,Niyazi-i Mısri Sk. No:24 KARAGÜMRÜK/FATİH,41.02707000000000192585503100417554378509521484375,28.935269000000001682337824604474008083343505859375
3389,Halitbey Sağlık Medikal,Sağlık,Medikal,PENDİK,BAHÇELİEVLER,Adnan Menderes Bulvarı No:21 /1 BAHÇELİEVLER/PENDİK,40.88364299999999929013938526622951030731201171875,29.23494699999999824058249942027032375335693359375
3390,Uzm. Kl. Psk. Ecem Demirel,Sağlık,Psikologlar,ŞİŞLİ,MERKEZ,Abide-i Hürriyet Cad. No:55 MERKEZ/ŞİŞLİ,41.057310000000001082298695109784603118896484375,28.98544199999999904093783698044717311859130859375
3391,Özel Gülümse Çocuk Ağız ve Diş Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,TUZLA,EVLİYA ÇELEBİ,Hatboyu Cad. No:4 EVLİYA ÇELEBİ/TUZLA,40.844414999999997917257132939994335174560546875,29.29878599999999977399056660942733287811279296875
3392,Nh Medikal,Sağlık,Medikal,ESENLER,ORUÇREİS,Giyimkent 10. Sk. No:37 A ORUÇREİS/ESENLER,41.07030999999999920646587270312011241912841796875,28.87240299999999848523657419718801975250244140625
3393,Prof. Dr. Ruhi Yavuz,Sağlık,Doktor/Muayenehane,ŞİŞLİ,MERKEZ,Abide-i Hürriyet Cad. No:51 MERKEZ/ŞİŞLİ,41.057197999999999638021108694374561309814453125,28.9854279999999988604031386785209178924560546875
3394,Çatalca Sağlıklı Yaşam Merkezi,Sağlık,Sağlık Diğer,ÇATALCA,FERHATPAŞA,Vezir Ferhatpaşa Cad. No:58 /2 FERHATPAŞA/ÇATALCA,41.14175300000000135014488478191196918487548828125,28.45825500000000118916432256810367107391357421875
3395,Bahadır Dental,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,FATİH,MOLLA GÜRANİ,Akkoyunlu Sk. No:21 MOLLA GÜRANİ/FATİH,41.0133009999999984529495122842490673065185546875,28.93860099999999846431819605641067028045654296875
3396,Uzm. Dyt. Kudret Alçiçek Kır,Sağlık,Diyetisyen,BAKIRKÖY,ZUHURATBABA,Mahmut Moralı Sk. No:2 ZUHURATBABA/BAKIRKÖY,40.982922000000002071828930638730525970458984375,28.871359000000001771013558027334511280059814453125
